Highway Segment,6-7 CHANGE,6-7 TOTAL,7-8 AM CHANGE,7-8 TOTAL,8-9 AM CHANGE,8-9 TOTAL,9-10 AM CHANGE,9-10 TOTAL
0: Start of Highway,0,2900,0,4350,0,4000,0,3550
1: (Int 29 Sullivan Sq / Route 28) OFF,-650,2250,-950,3400,-1000,3000,-950,2600
2: (Int 29 Sullivan Sq / Route 28) ON,400,2650,700,4100,600,3600,500,3100
3: (Int 30 Mystic Ave.) ON,700,3350,1100,5200,1000,4600,800,3900
4: (Int 31 Route 16 / Mystic Ave Prkw) OFF,-300,3050,-400,4800,-450,4150,-400,3500
5: (Int 31 Route 16 / Mystic Ave Prkw) ON,350,3400,700,5500,650,4800,550,4050
6: (Int 32 Route 60) OFF,-150,3250,-200,5300,-200,4600,-250,3800
7: (Int 32 Route 60) ON,250,3500,400,5700,400,5000,350,4150
8: (Int 33 Roosevelt Circle) OFF,-150,3350,-300,5400,-400,4600,-350,3800
9: (Int 33 Roosevelt Circle) ON,850,4200,1100,6500,900,5500,700,4500
